_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,africa_region,age_range,americas_region,asia_region,europe_region,gender,general_geographic_region,have_you_entered_your_demographics_information,highest_education_achieved,how_against_vaccinations_is_this_tweet,how_based_on_emotions_are_the_statements_made_in_this_tweet,how_based_on_facts_are_the_statements_made_in_this_tweet,how_much_do_you_trust_the_government_of_the_country_you_reside_in,how_negative_is_the_sentiment_of_this_text,how_positive_is_the_sentiment_of_this_text,how_pro_vaccinations_is_this_tweet,is_this_tweet_relevant_to_the_subject_of_vaccinations,oceania_region,what_is_your_own_stance_on_vaccinations,africa_region_gold,age_range_gold,americas_region_gold,asia_region_gold,europe_region_gold,gender_gold,general_geographic_region_gold,have_you_entered_your_demographics_information_gold,highest_education_achieved_gold,how_against_vaccinations_is_this_tweet_gold,how_based_on_emotions_are_the_statements_made_in_this_tweet_gold,how_based_on_facts_are_the_statements_made_in_this_tweet_gold,how_much_do_you_trust_the_government_of_the_country_you_reside_in_gold,how_negative_is_the_sentiment_of_this_text_gold,how_positive_is_the_sentiment_of_this_text_gold,how_pro_vaccinations_is_this_tweet_gold,is_this_tweet_relevant_to_the_subject_of_vaccinations_gold,oceania_region_gold,text,what_is_your_own_stance_on_vaccinations_gold
2325534457,6/10/2019 11:12:16,false,4885688454,,6/10/2019 11:03:43,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"Dogs in #Russia are being needlessly culled, and becoming victims of the 2018 World Cup. The Russian government should promote mass dog vaccination, neutering and responsible pet ownership instead:  #WorldCup2018",
2325534457,6/14/2019 19:30:53,false,4897947755,,6/14/2019 19:28:29,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"Dogs in #Russia are being needlessly culled, and becoming victims of the 2018 World Cup. The Russian government should promote mass dog vaccination, neutering and responsible pet ownership instead:  #WorldCup2018",
2325534459,6/10/2019 11:20:59,false,4885697650,,6/10/2019 11:17:51,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,4,3,,4,1,4,yes,,,,,,,,,,,,,,,,,,,,,"And what’s disgusting on top of the anti-choice debate is the rise of the antivax movement that has taken the word “choice” and labeled their movement the “vaccine choice” movement, when we all know getting vaccinated or not affects far more than just yourself.",
2325534459,6/14/2019 19:32:19,false,4897951737,,6/14/2019 19:30:54,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,4,1,,4,1,4,yes,,,,,,,,,,,,,,,,,,,,,"And what’s disgusting on top of the anti-choice debate is the rise of the antivax movement that has taken the word “choice” and labeled their movement the “vaccine choice” movement, when we all know getting vaccinated or not affects far more than just yourself.",
2325534460,6/10/2019 11:29:09,false,4885706237,,6/10/2019 11:26:23,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,2,,1,5,3,yes,,,,,,,,,,,,,,,,,,,,,First vaccine of our brave little boy Primo. We love you. @joricois,
2325534460,6/17/2019 09:34:24,false,4903166304,,6/17/2019 09:32:40,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,4,1,,1,5,2,yes,,,,,,,,,,,,,,,,,,,,,First vaccine of our brave little boy Primo. We love you. @joricois,
2325534463,6/9/2019 13:25:30,false,4883694971,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,4,,3,2,4,yes,,,,,,,,,,,,,,,,,,,,,"Communities with access to vaccines are far less likely to suffer poverty, according to new research   #vaccineswork",
2325534463,6/9/2019 14:23:24,false,4883792155,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,yes,,1,1,4,,1,2,4,yes,,,,,,,,,,,,,,,,,,,,,"Communities with access to vaccines are far less likely to suffer poverty, according to new research   #vaccineswork",
2325534463,6/9/2019 17:58:12,false,4884128429,,6/9/2019 17:42:40,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,1,1,4,,1,4,5,yes,,,,,,,,,,,,,,,,,,,,,"Communities with access to vaccines are far less likely to suffer poverty, according to new research   #vaccineswork",
2325534463,6/10/2019 14:14:56,false,4885978308,,6/10/2019 14:12:23,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,2,5,,1,5,5,yes,,,,,,,,,,,,,,,,,,,,,"Communities with access to vaccines are far less likely to suffer poverty, according to new research   #vaccineswork",
2325534463,6/10/2019 22:06:40,false,4886778633,,6/10/2019 21:58:30,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"Communities with access to vaccines are far less likely to suffer poverty, according to new research   #vaccineswork",
2325534468,6/9/2019 13:25:30,false,4883694981,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,3,,3,2,3,yes,,,,,,,,,,,,,,,,,,,,,"2+2=4
Vaccines work
Sick people don't get sick on purpose
Racism shapes society

""OMG quit being so SMUG""
--some libertarian in Slate",
2325534468,6/9/2019 14:23:24,false,4883792164,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,2,3,1,,2,2,4,yes,,,,,,,,,,,,,,,,,,,,,"2+2=4
Vaccines work
Sick people don't get sick on purpose
Racism shapes society

""OMG quit being so SMUG""
--some libertarian in Slate",
2325534468,6/9/2019 18:04:44,false,4884136757,,6/9/2019 17:58:14,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,1,4,1,,3,1,4,yes,,,,,,,,,,,,,,,,,,,,,"2+2=4
Vaccines work
Sick people don't get sick on purpose
Racism shapes society

""OMG quit being so SMUG""
--some libertarian in Slate",
2325534468,6/10/2019 14:22:00,false,4885989935,,6/10/2019 14:19:11,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,5,1,,4,1,5,yes,,,,,,,,,,,,,,,,,,,,,"2+2=4
Vaccines work
Sick people don't get sick on purpose
Racism shapes society

""OMG quit being so SMUG""
--some libertarian in Slate",
2325534468,6/11/2019 17:42:16,false,4888592963,,6/11/2019 17:39:57,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,4,1,,4,1,4,yes,,,,,,,,,,,,,,,,,,,,,"2+2=4
Vaccines work
Sick people don't get sick on purpose
Racism shapes society

""OMG quit being so SMUG""
--some libertarian in Slate",
2325534470,6/9/2019 13:25:30,false,4883694974,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,3,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Juan Enriquez the futurist has spoken about UNNATURAL SELECTION. All of the people that think this is a conspiracy theory need to get it in their heads. It isn't. 
Warning: EPA Approves Population Control Vaccine For Deer",
2325534470,6/9/2019 14:23:24,false,4883792162,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,5,2,2,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Juan Enriquez the futurist has spoken about UNNATURAL SELECTION. All of the people that think this is a conspiracy theory need to get it in their heads. It isn't. 
Warning: EPA Approves Population Control Vaccine For Deer",
2325534470,6/9/2019 18:04:44,false,4884136759,,6/9/2019 17:58:14,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,4,3,4,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Juan Enriquez the futurist has spoken about UNNATURAL SELECTION. All of the people that think this is a conspiracy theory need to get it in their heads. It isn't. 
Warning: EPA Approves Population Control Vaccine For Deer",
2325534470,6/10/2019 14:22:00,false,4885989938,,6/10/2019 14:19:11,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"Juan Enriquez the futurist has spoken about UNNATURAL SELECTION. All of the people that think this is a conspiracy theory need to get it in their heads. It isn't. 
Warning: EPA Approves Population Control Vaccine For Deer",
2325534470,6/11/2019 17:42:16,false,4888592953,,6/11/2019 17:39:57,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"Juan Enriquez the futurist has spoken about UNNATURAL SELECTION. All of the people that think this is a conspiracy theory need to get it in their heads. It isn't. 
Warning: EPA Approves Population Control Vaccine For Deer",
2325534471,6/10/2019 11:12:16,false,4885688452,,6/10/2019 11:03:43,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,3,,2,3,4,yes,,,,,,,,,,,,,,,,,,,,,"Shigella alone resulted in 164,000 deaths in total, mostly in Africa, South Asia &amp; India. With our #Shigella #vaccine work, our focus has been to optimize existing vaccines &amp; address the gaps in low resource settings.  #TowardsImmunization",
2325534471,6/14/2019 19:30:53,false,4897947777,,6/14/2019 19:28:29,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,3,,2,3,4,yes,,,,,,,,,,,,,,,,,,,,,"Shigella alone resulted in 164,000 deaths in total, mostly in Africa, South Asia &amp; India. With our #Shigella #vaccine work, our focus has been to optimize existing vaccines &amp; address the gaps in low resource settings.  #TowardsImmunization",
2325534472,6/10/2019 11:12:16,false,4885688451,,6/10/2019 11:03:43,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,3,3,1,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,I added a video to a @YouTube playlist  Vaccine Infused Foods Edible Vaccines: What’s in your Banana?,
2325534472,6/14/2019 19:32:19,false,4897951731,,6/14/2019 19:30:54,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,I added a video to a @YouTube playlist  Vaccine Infused Foods Edible Vaccines: What’s in your Banana?,
2325534473,6/11/2019 14:11:36,false,4888142432,,6/11/2019 14:07:51,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Anyone who thinks this is noble is lost. The debts that African countries are getting to them do not help the people and so our governments become hostages.,
2325534473,6/17/2019 09:40:52,false,4903175136,,6/17/2019 09:34:25,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Anyone who thinks this is noble is lost. The debts that African countries are getting to them do not help the people and so our governments become hostages.,
2325534476,6/9/2019 13:25:30,false,4883694965,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,25-34,,,Western Europe,Male,Europe,no,"Bachelor's Degree (e.g. BA, BS)",1,3,1,Middle Ground (Both trust and distrust),3,2,3,yes,,Mostly Against,,,,,,,,,,,,,,,,,,,"They should stop and listen to parents instead of ramping up the big push.

#MPVR #msleg #hearus #vaxxed #notgoingaway #givemeashotmoms #givemwashotms",
2325534476,6/9/2019 14:23:24,false,4883792167,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"They should stop and listen to parents instead of ramping up the big push.

#MPVR #msleg #hearus #vaxxed #notgoingaway #givemeashotmoms #givemwashotms",
2325534476,6/9/2019 18:08:49,false,4884142458,,6/9/2019 18:04:45,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,5,4,1,,5,1,1,yes,,,,,,,,,,,,,,,,,,,,,"They should stop and listen to parents instead of ramping up the big push.

#MPVR #msleg #hearus #vaxxed #notgoingaway #givemeashotmoms #givemwashotms",
2325534476,6/10/2019 14:28:48,false,4886005809,,6/10/2019 14:27:29,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"They should stop and listen to parents instead of ramping up the big push.

#MPVR #msleg #hearus #vaxxed #notgoingaway #givemeashotmoms #givemwashotms",
2325534476,6/10/2019 22:15:23,false,4886791397,,6/10/2019 22:13:15,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"They should stop and listen to parents instead of ramping up the big push.

#MPVR #msleg #hearus #vaxxed #notgoingaway #givemeashotmoms #givemwashotms",
2325534479,6/9/2019 13:25:30,false,4883694966,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Mahilaayein door rahe Rabies Uncle se. 😸,
2325534479,6/9/2019 14:23:24,false,4883792168,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Mahilaayein door rahe Rabies Uncle se. 😸,
2325534479,6/9/2019 18:04:44,false,4884136758,,6/9/2019 17:58:14,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Mahilaayein door rahe Rabies Uncle se. 😸,
2325534479,6/10/2019 14:27:28,false,4886003306,,6/10/2019 14:22:02,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Mahilaayein door rahe Rabies Uncle se. 😸,
2325534479,6/11/2019 17:43:51,false,4888595607,,6/11/2019 17:42:17,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Mahilaayein door rahe Rabies Uncle se. 😸,
2325534484,6/10/2019 11:26:21,false,4885703207,,6/10/2019 11:21:00,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,2,,3,1,3,yes,,,,,,,,,,,,,,,,,,,,,"Rumors, mistrust hinder Brazil yellow fever vaccine campaign  via @bmtenterprise",
2325534484,6/17/2019 09:30:04,false,4903159515,,6/17/2019 09:26:30,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,3,2,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,"Rumors, mistrust hinder Brazil yellow fever vaccine campaign  via @bmtenterprise",
2325534486,6/10/2019 11:29:09,false,4885706243,,6/10/2019 11:26:23,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,3,,1,2,3,yes,,,,,,,,,,,,,,,,,,,,,#vaccines Competing Effects Of Indirect Protection And Clustering On The Power Of ClusterRandomized Controlled Vaccine Trials.,
2325534486,6/17/2019 09:34:24,false,4903166301,,6/17/2019 09:32:40,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,1,3,,1,1,2,yes,,,,,,,,,,,,,,,,,,,,,#vaccines Competing Effects Of Indirect Protection And Clustering On The Power Of ClusterRandomized Controlled Vaccine Trials.,
2325534490,6/10/2019 11:26:21,false,4885703213,,6/10/2019 11:21:00,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,3,,2,2,3,yes,,,,,,,,,,,,,,,,,,,,,"@itsmepanda1 @carlsmythe @1002Loola @GeoffSchuler @FreeBeeCee @VeritasEver @TheFrankmanMN @boglethemind @janem1276 @mj1117d @1mayo10 @RustyPee4 @EmOtraNo @dkegel @NoahSmittysbro @GrumFromNorwich @ChrisJohnsonMD @knakatani @EmmaGPaley @GretchenScience @PileOfGoop @AngryAmygdala @_CWN @kenjaques @BigBaldDr @svagdis @joejoe80495073 @DocMeehan @and_kell @Just4TheCause @Plasticdoe @mmelgar09 @jkellyca @eldrave20 @Siubhan_H @LaLaRueFrench75 @ithinkaboutbeer @justice69hall @doritmi @erikwilson1975 @RBuzzy1111 @RachLittlewood @LilEarthling369 @Awithonelison @FarmgalMom @SuzieQT11 @jim_herd @sapienist @TPsoas There are no 'vaccine triggered seizures'. Kids seize for a range of reasons. The closest to a vaccine induced seizure is someone having a t/c after coming to from passing out during vaccination... or blood draws, or whatever.",
2325534490,6/17/2019 09:32:38,false,4903163514,,6/17/2019 09:30:05,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,2,2,,2,2,2,yes,,,,,,,,,,,,,,,,,,,,,"@itsmepanda1 @carlsmythe @1002Loola @GeoffSchuler @FreeBeeCee @VeritasEver @TheFrankmanMN @boglethemind @janem1276 @mj1117d @1mayo10 @RustyPee4 @EmOtraNo @dkegel @NoahSmittysbro @GrumFromNorwich @ChrisJohnsonMD @knakatani @EmmaGPaley @GretchenScience @PileOfGoop @AngryAmygdala @_CWN @kenjaques @BigBaldDr @svagdis @joejoe80495073 @DocMeehan @and_kell @Just4TheCause @Plasticdoe @mmelgar09 @jkellyca @eldrave20 @Siubhan_H @LaLaRueFrench75 @ithinkaboutbeer @justice69hall @doritmi @erikwilson1975 @RBuzzy1111 @RachLittlewood @LilEarthling369 @Awithonelison @FarmgalMom @SuzieQT11 @jim_herd @sapienist @TPsoas There are no 'vaccine triggered seizures'. Kids seize for a range of reasons. The closest to a vaccine induced seizure is someone having a t/c after coming to from passing out during vaccination... or blood draws, or whatever.",
2325534491,6/10/2019 11:20:59,false,4885697644,,6/10/2019 11:17:51,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,2,,1,3,3,yes,,,,,,,,,,,,,,,,,,,,,"We're #hiring! Read about our latest #job opening here: Medical Representative Vaccine-Jackson MS -  #Sales #Jackson, MS",
2325534491,6/14/2019 19:32:19,false,4897951746,,6/14/2019 19:30:54,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,2,,1,3,2,yes,,,,,,,,,,,,,,,,,,,,,"We're #hiring! Read about our latest #job opening here: Medical Representative Vaccine-Jackson MS -  #Sales #Jackson, MS",
2325534493,6/10/2019 11:12:16,false,4885688455,,6/10/2019 11:03:43,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,4,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Perth's north among lowest immunisation rates in #Australia A national report into the number of immunised five-year-olds has found those in Perth’s northern suburbs have one of lowest rates in the country.  via @perthnow #perth,
2325534493,6/14/2019 19:30:53,false,4897947781,,6/14/2019 19:28:29,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,4,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,Perth's north among lowest immunisation rates in #Australia A national report into the number of immunised five-year-olds has found those in Perth’s northern suburbs have one of lowest rates in the country.  via @perthnow #perth,
2325534494,6/10/2019 11:26:21,false,4885703210,,6/10/2019 11:21:00,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,2,,2,2,1,yes,,,,,,,,,,,,,,,,,,,,,"‘No Jab, No Play’: How Australia Is Handling the Vaccination Debate",
2325534494,6/17/2019 09:32:38,false,4903163523,,6/17/2019 09:30:05,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,2,1,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,"‘No Jab, No Play’: How Australia Is Handling the Vaccination Debate",
2325534500,6/10/2019 11:03:42,false,4885679662,,6/10/2019 10:57:21,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,25-34,,,Western Europe,Male,Europe,no,"Bachelor's Degree (e.g. BA, BS)",1,2,3,Middle Ground (Both trust and distrust),2,2,2,yes,,Mostly Pro,,,,,,,,,,,,,,,,,,,A bill filed this month in the Florida Senate would create a new vaccine requirement for public,
2325534500,6/14/2019 17:46:34,false,4897630890,,6/14/2019 17:45:13,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,1,4,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,A bill filed this month in the Florida Senate would create a new vaccine requirement for public,
2325534505,6/10/2019 12:44:39,false,4885798405,,6/10/2019 12:37:32,false,cf_internal,1.0,45274764,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,1,2,,1,3,4,yes,,,,,,,,,,,,,,,,,,,,,@NKTacademy we’re with you tomorrow for Yr 8 &amp; 9 HPV vaccinations.Yr 8 please return your forms to school. Yr 9 we have yours already. Please eat breakfast and wear short sleeves #immsprotect,
2325534505,6/10/2019 14:22:00,false,4885989949,,6/10/2019 14:19:11,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,2,1,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,@NKTacademy we’re with you tomorrow for Yr 8 &amp; 9 HPV vaccinations.Yr 8 please return your forms to school. Yr 9 we have yours already. Please eat breakfast and wear short sleeves #immsprotect,
2325534505,6/10/2019 22:09:47,false,4886783449,,6/10/2019 22:04:36,false,cf_internal,1.0,45316720,NLD,11,Delft,80.112.187.73,,18-24,,Eastern Asia,,Male,Asia,no,"Master's Degree (e.g. MA, MS, MEd)",1,1,1,Mostly Trust,1,1,1,yes,,Middle Ground (Both pro and against),,,,,,,,,,,,,,,,,,,@NKTacademy we’re with you tomorrow for Yr 8 &amp; 9 HPV vaccinations.Yr 8 please return your forms to school. Yr 9 we have yours already. Please eat breakfast and wear short sleeves #immsprotect,
2325534505,6/10/2019 22:13:13,false,4886788226,,6/10/2019 22:08:38,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,1,1,3,,1,2,3,yes,,,,,,,,,,,,,,,,,,,,,@NKTacademy we’re with you tomorrow for Yr 8 &amp; 9 HPV vaccinations.Yr 8 please return your forms to school. Yr 9 we have yours already. Please eat breakfast and wear short sleeves #immsprotect,
2325534505,6/11/2019 17:42:16,false,4888592959,,6/11/2019 17:39:57,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,1,3,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,@NKTacademy we’re with you tomorrow for Yr 8 &amp; 9 HPV vaccinations.Yr 8 please return your forms to school. Yr 9 we have yours already. Please eat breakfast and wear short sleeves #immsprotect,
2325534511,6/10/2019 12:52:34,false,4885813577,,6/10/2019 12:44:41,false,cf_internal,1.0,45274764,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,4,4,1,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,"@JBennethJournal @6x10E23 Trying to equate vaccination with homeopathy demonstrates a complete ignorance not only of real science but also of homeopathy. Which is a bit silly, coming from a homeopath.",
2325534511,6/10/2019 14:31:05,false,4886011746,,6/10/2019 14:28:50,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,4,4,2,,4,1,2,yes,,,,,,,,,,,,,,,,,,,,,"@JBennethJournal @6x10E23 Trying to equate vaccination with homeopathy demonstrates a complete ignorance not only of real science but also of homeopathy. Which is a bit silly, coming from a homeopath.",
2325534511,6/10/2019 22:23:32,false,4886802754,,6/10/2019 22:19:28,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,1,4,2,,1,3,3,yes,,,,,,,,,,,,,,,,,,,,,"@JBennethJournal @6x10E23 Trying to equate vaccination with homeopathy demonstrates a complete ignorance not only of real science but also of homeopathy. Which is a bit silly, coming from a homeopath.",
2325534511,6/11/2019 17:46:05,false,4888599264,,6/11/2019 17:43:52,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,5,3,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,"@JBennethJournal @6x10E23 Trying to equate vaccination with homeopathy demonstrates a complete ignorance not only of real science but also of homeopathy. Which is a bit silly, coming from a homeopath.",
2325534511,6/12/2019 19:49:10,false,4891489001,,6/12/2019 19:43:02,false,cf_internal,1.0,45319846,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,4,3,,3,2,5,yes,,,,,,,,,,,,,,,,,,,,,"@JBennethJournal @6x10E23 Trying to equate vaccination with homeopathy demonstrates a complete ignorance not only of real science but also of homeopathy. Which is a bit silly, coming from a homeopath.",
2325534513,6/10/2019 14:35:57,false,4886021958,,6/10/2019 14:34:02,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"New Tumblr post: ""Badly Lit Lounge by Secret Vaccine
All tracks written by...""  IFTTT, SoundCloud, Alternative/Indie",
2325534513,6/10/2019 22:27:47,false,4886808579,,6/10/2019 22:25:34,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"New Tumblr post: ""Badly Lit Lounge by Secret Vaccine
All tracks written by...""  IFTTT, SoundCloud, Alternative/Indie",
2325534513,6/11/2019 14:01:11,false,4888122754,,6/11/2019 13:58:39,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"New Tumblr post: ""Badly Lit Lounge by Secret Vaccine
All tracks written by...""  IFTTT, SoundCloud, Alternative/Indie",
2325534513,6/11/2019 17:50:33,false,4888608208,,6/11/2019 17:48:57,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"New Tumblr post: ""Badly Lit Lounge by Secret Vaccine
All tracks written by...""  IFTTT, SoundCloud, Alternative/Indie",
2325534513,6/14/2019 16:49:36,false,4897437604,,6/14/2019 16:47:43,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"New Tumblr post: ""Badly Lit Lounge by Secret Vaccine
All tracks written by...""  IFTTT, SoundCloud, Alternative/Indie",
2325534515,6/10/2019 22:33:25,false,4886817376,,6/10/2019 22:30:17,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"$IVST Announces LOI Acquiring 20% Stake In StemVax, LLC, Entering Into Cancer Vaccine Market!!! FLASHING Overall  $IVST",
2325534515,6/11/2019 14:03:44,false,4888128314,,6/11/2019 14:01:13,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,3,,1,3,1,yes,,,,,,,,,,,,,,,,,,,,,"$IVST Announces LOI Acquiring 20% Stake In StemVax, LLC, Entering Into Cancer Vaccine Market!!! FLASHING Overall  $IVST",
